papel;cotacao;pl;pvp;psr;div_yield;p_ativo;p_cap_giro;p_ebit;p_ativ_circ_liq;ev_ebit;ev_ebitda;mrg_bruta;mrg_ebit;mrg_liq;liq_corr;roic;roe;liq_2meses;patrim_liq;div_liq_patrim;cresc_rec_5a;ticker
ALLD3;5,1;1,35;0,31;0,088;44,91;0,138;0,47;2,9;0,75;3,12;2,48;11,99;3,05;6,56;1,66;9,32;23,06;2104090,0;1574190000,0;0,02;-0,69;ALLD3.SA
BMEB4;60,33;9,12;2,39;0,0;5,34;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;26,21;1994030,0;3122950000,0;0,0;22,44;BMEB4.SA
CMIG3;17,37;10,82;1,7;1,136;6,08;0,702;22,02;8,27;-1,92;11,48;9,05;15,8;13,74;10,51;1,17;9,3;15,75;1778520,0;29181600000,0;0,66;6,06;CMIG3.SA
ITSA3;14,24;8,79;1,7;18,842;7,92;1,333;21,22;371,36;-26,03;380,86;94,28;25,72;5,07;215,08;2,0;0,38;19,36;1625880,0;93790000000,0;0,04;-0,05;ITSA3.SA
EUCA4;21,12;4,88;0,65;0,618;5,33;0,378;1,78;3,71;-12,02;4,62;2,94;36,28;16,64;12,67;2,22;11,91;13,28;1596280,0;3020340000,0;0,16;5,85;EUCA4.SA
TASA4;5,85;30,55;0,63;0,571;0,05;0,336;1,44;-17,68;3,81;-26,93;72,49;32,24;-3,23;1,87;1,72;-2,33;2,08;1586630,0;1284530000,0;0,33;-15,61;TASA4.SA
TAEE3;13,54;8,61;1,73;3,121;7,4;0,616;6,57;5,74;-1,2;10,01;9,67;60,76;54,38;36,25;3,48;11,11;20,14;1549190,0;8070920000,0;1,29;13,01;TAEE3.SA
GFSA3;0,2;-0,05;0,02;0,064;0,0;0,007;0,05;-0,11;-0,05;-5,35;-5,67;-37,28;-56,05;-124,06;1,31;-6,27;-39,87;1484620,0;1533210000,0;0,94;-12,18;GFSA3.SA
TRIS3;5,01;6,18;0,77;0,766;17,76;0,371;0,62;6,28;1,25;8,65;7,34;27,54;12,2;12,67;3,79;6,96;12,42;1413560,0;1524240000,0;0,29;20,03;TRIS3.SA
HBOR3;2,15;63,15;0,2;0,261;6,2;0,043;0,13;2,09;-1,05;14,93;13,49;29,9;12,51;5,95;2,55;2,16;0,31;1398390,0;1448250000,0;1,22;6,37;HBOR3.SA
HBRE3;2,68;7,58;0,16;0,497;43,49;0,057;-3,16;0,76;-0,15;4,99;4,9;39,75;65,76;19,8;0,81;7,79;2,05;1386100,0;1783260000,0;0,87;39,75;HBRE3.SA
CSED3;5,48;6,45;1,19;0,683;8,86;0,415;5,0;3,55;-1,04;4,42;2,96;51,28;19,25;10,59;1,49;14,88;18,5;1321310,0;1675800000,0;0,29;11,07;CSED3.SA
SYNE3;3,77;10,57;0,82;1,724;68,47;0,254;6,45;4,42;-1,14;6,22;4,77;55,17;38,97;21,48;1,45;6,47;7,8;1298320,0;698176000,0;0,33;-34,03;SYNE3.SA
MELK3;3,01;5,24;0,57;0,542;13,84;0,215;0,53;4,64;1,74;8,43;8,08;24,18;11,68;14,41;2,39;5,41;10,91;1287370,0;1086360000,0;0,47;5,52;MELK3.SA
PFRM3;7,87;6,31;0,68;0,078;8,19;0,122;0,63;2,33;-1,67;4,38;2,9;15,14;3,34;1,29;1,37;8,99;10,71;985931,0;1442850000,0;0,59;15,43;PFRM3.SA
SAPR3;7,77;25,79;0,97;1,557;1,32;0,443;4,02;4,62;-1,45;5,64;4,46;57,51;33,71;6,04;1,86;11,83;3,76;923512,0;12103900000,0;0,21;8,47;SAPR3.SA
ROMI3;5,98;7,43;0,45;0,431;7,02;0,208;0,63;9,17;2,85;18,74;8,49;27,17;4,7;5,88;2,19;2,77;6,01;870452,0;1249000000,0;0,47;-3,85;ROMI3.SA
LAND3;10,0;-67,46;1,47;10,605;0,0;1,026;-1343,95;16,78;-5,85;16,61;15,72;95,4;63,19;-15,72;0,99;6,8;-2,18;860009,0;653550000,0;-0,02;-5,0;LAND3.SA
DOTZ3;10,3;4,78;-0,63;0,372;0,0;0,314;2,85;1,32;-0,41;1,93;1,53;63,62;28,08;7,77;1,18;28,54;-13,2;854670,0;-217317000,0;-0,29;26,94;DOTZ3.SA
MATD3;5,03;11,83;1,12;0,724;2,99;0,383;1,65;4,04;-1,28;5,82;4,56;30,34;17,89;6,13;2,87;11,52;9,5;831308,0;1492820000,0;0,49;12,38;MATD3.SA
VVEO3;0,78;4,43;0,14;0,022;0,0;0,029;0,13;0,59;-0,1;7,45;4,08;15,31;3,63;0,49;1,72;6,53;3,12;825206,0;1822550000,0;1,6;12,23;VVEO3.SA
ENJU3;0,77;-2,76;0,76;0,612;26,19;0,38;1,07;-4,87;1,16;1,33;-9,07;53,89;-12,56;-22,15;1,75;-18,22;-27,47;778624,0;208053000,0;-0,97;22,95;ENJU3.SA
PTBL3;1,64;-0,73;-2,22;0,09;0,0;0,066;-0,96;2,81;-0,1;17,51;4,88;35,0;3,19;-12,37;0,83;3,02;306,59;750224,0;-103947000,0;-11,64;5,81;PTBL3.SA
VITT3;3,23;7,58;0,84;0,621;4,18;0,554;1,74;9,4;2,24;11,6;7,95;29,34;6,61;8,16;2,17;6,86;11,1;728304,0;604492000,0;0,2;-0,62;VITT3.SA
CLSC4;159,94;7,05;1,46;0,493;8,29;0,412;5,96;5,25;-1,04;9,65;7,18;16,17;9,39;6,99;1,27;8,73;20,7;691042,0;4228180000,0;1,22;2,82;CLSC4.SA
GGBR3;22,1;19,54;0,82;0,629;3,61;0,533;2,28;6,2;36,41;7,35;4,82;13,1;10,14;3,27;2,87;10,03;4,18;675353,0;53544600000,0;0,15;-5,14;GGBR3.SA
TECN3;10,03;4,95;1,2;1,232;4,23;0,865;1,76;6,22;2,28;6,36;7,15;55,1;19,8;24,88;3,93;15,64;24,27;640650,0;502364000,0;0,03;9,5;TECN3.SA
CSUD3;14,05;5,98;1,2;0,888;16,75;0,713;13,42;5,7;-8,6;6,36;3,88;42,08;15,58;14,84;1,2;14,77;19,98;618071,0;491118000,0;0,14;5,87;CSUD3.SA
BRST3;2,86;21,06;0,79;0,694;1,44;0,264;3,23;4,5;-0,62;10,57;3,71;43,22;15,42;3,29;1,51;7,27;3,77;601418,0;1578860000,0;1,07;16,56;BRST3.SA
AMBP3;0,14;-0,91;0,21;0,032;0,0;0,014;0,05;0,21;-0,03;5,85;3,31;18,22;15,56;-2,56;2,72;9,57;-23,47;597840,0;1093330000,0;5,81;56,82;AMBP3.SA
BRAP3;19,21;12,92;0,94;0,0;11,15;0,933;35,95;-202,9;36,58;-196,06;-196,06;0,0;0,0;0,0;5,69;-0,47;7,26;577855,0;8049610000,0;-0,03;0,0;BRAP3.SA
ALPK3;4,4;57,76;2,63;0,481;0,17;0,381;-5,85;3,64;-0,57;8,24;4,1;30,06;13,24;1,2;0,73;12,01;4,55;566705,0;367393000,0;3,32;18,49;ALPK3.SA
RAPT3;8,76;-8,85;1,01;0,235;0,0;0,164;0,56;2,44;-0,83;6,53;4,64;26,16;9,62;-1,03;2,12;9,51;-11,45;533355,0;3022890000,0;1,7;6,24;RAPT3.SA
ESPA3;7,2;33,78;0,3;0,237;5,31;0,119;0,74;1,63;-0,77;5,68;3,4;33,83;14,52;0,45;1,55;7,97;0,89;528335,0;865239000,0;0,75;9,92;ESPA3.SA
DEXP3;7,42;6,27;0,84;0,512;6,69;0,542;1,15;8,39;1,81;7,67;5,8;17,29;6,1;8,16;3,63;8,81;13,35;497524,0;1089820000,0;-0,07;-2,29;DEXP3.SA
GOAU3;10,28;17,11;0,71;0,196;3,73;0,166;0,71;1,93;10,77;3,08;2,02;13,1;10,12;3,27;2,88;10,0;4,13;458418,0;19234800000,0;0,42;-5,14;GOAU3.SA
BPAC3;23,8;15,26;3,49;0,0;1,98;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;22,88;341790,0;79553500000,0;0,0;11,85;BPAC3.SA
LOGN3;28,0;21,9;2,49;0,964;0,0;0,785;8,14;15,27;-2,18;22,02;8,8;12,94;6,32;4,41;1,42;5,71;11,37;323395,0;1206610000,0;1,1;15,58;LOGN3.SA
BMEB3;51,95;7,85;2,06;0,0;5,64;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;26,21;308323,0;3122950000,0;0,0;22,44;BMEB3.SA
COCE5;31,38;6,41;0,48;0,28;4,73;0,155;-1,03;1,6;-0,32;5,58;4,17;20,47;17,46;4,36;0,56;11,01;7,54;303361,0;5601290000,0;1,2;1,68;COCE5.SA
BRKM3;4,3;-0,62;-0,27;0,049;0,0;0,043;-0,39;2,96;-0,05;40,45;8,17;8,92;1,64;-9,4;0,77;1,85;44,02;302443,0;-12586000000,0;-3,45;-8,7;BRKM3.SA
BAZA3;67,42;4,28;0,52;0,0;17,72;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,14;290745,0;7274070000,0;0,0;-33,64;BAZA3.SA
UNIP3;56,02;23,78;3,17;1,211;10,51;0,817;3,89;9,19;-2,16;12,57;8,64;26,81;13,18;4,98;2,39;11,66;13,34;289744,0;1998820000,0;1,17;-8,38;UNIP3.SA
OFSA3;27,44;6,27;1,79;1,084;4,7;0,917;1,85;5,2;4,64;5,68;4,99;52,02;20,84;17,29;3,61;25,89;28,55;284142,0;826937000,0;0,17;8,47;OFSA3.SA
TPIS3;10,66;-1,21;0,93;0,519;5,15;0,218;-0,63;-1,51;-0,32;-5,33;-16,04;26,5;-34,25;-44,63;0,22;-15,36;-77,17;281986,0;501764000,0;2,36;-0,53;TPIS3.SA
AMOB3;12,01;-1,22;0,24;0,034;0,0;0,053;0,49;2,05;-0,23;14,21;7,14;14,52;1,66;-2,79;1,25;3,69;-20,02;260308,0;1867200000,0;1,45;-20,36;AMOB3.SA
CEBR5;23,67;10,67;1,8;3,738;13,84;1,261;3,4;13,36;4,16;11,11;10,45;47,05;27,97;44,0;7,99;12,11;16,82;259390,0;950416000,0;-0,3;6,63;CEBR5.SA
DMVF3;6,5;15,13;0,36;0,12;0,0;0,162;35,24;4,35;-0,73;4,78;1,66;29,63;2,75;0,79;1,01;4,77;2,35;249354,0;924038000,0;0,04;20,65;DMVF3.SA
AMAR3;0,89;-2,0;7,5;0,312;0,0;0,219;-1,77;2,66;-0,33;7,48;3,94;52,53;11,74;-15,62;0,71;10,6;-375,31;247224,0;60921000,0;13,58;-16,75;AMAR3.SA
CEBR3;23,85;10,75;1,81;3,766;13,73;1,271;3,42;13,47;4,19;11,21;10,54;47,05;27,97;44,0;7,99;12,11;16,82;236588,0;950416000,0;-0,3;6,63;CEBR3.SA
ETER3;3,72;7,53;0,27;0,201;4,59;0,161;1,32;29,4;-9,55;50,02;6,91;18,43;0,68;2,67;1,45;0,6;3,61;236563,0;844344000,0;0,19;0,36;ETER3.SA
RSUL4;37,67;3,74;0,76;0,545;6,66;0,47;1,23;2,52;2,44;2,08;1,93;41,42;21,6;14,58;2,97;24,52;20,33;236300,0;300899000,0;-0,13;3,73;RSUL4.SA
BIOM3;6,58;22,72;2,77;2,342;0,0;1,464;6,93;16,57;11,62;18,09;18,37;37,62;14,14;10,31;1,55;11,76;12,19;230151,0;325198000,0;0,25;30,74;BIOM3.SA
SHOW3;6,24;-0,73;0,47;0,262;0,0;0,149;1,5;-8,5;-0,63;-5,7;14,02;27,63;-3,09;-38,03;1,29;-2,63;-64,13;225410,0;89914000,0;-0,15;-17,25;SHOW3.SA
BPAC5;20,01;12,83;2,94;0,0;2,35;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;22,88;197894,0;79553500000,0;0,0;11,85;BPAC5.SA
LPSB3;1,3;6,56;0,79;0,925;17,09;0,497;5,29;4,98;-3,63;3,51;2,31;74,68;18,55;19,55;1,57;11,88;12,08;195926,0;241922000,0;-0,23;0,99;LPSB3.SA
SCAR3;12,93;-45,04;0,77;2,972;54,92;0,23;1,66;30,77;-0,52;32,61;8,81;50,12;9,66;-2,43;2,13;0,97;-1,7;194477,0;972626000,0;0,05;-8,65;SCAR3.SA
IGTI3;3,27;10,64;1,38;4,447;1,28;0,675;3,73;7,23;-3,01;9,51;8,25;73,82;61,49;41,81;2,73;12,16;12,93;181445,0;4937140000,0;0,43;11,17;IGTI3.SA
IFCM3;1,68;-0,15;0,35;0,073;0,0;0,038;0,19;-0,37;-0,1;-3,56;-8,66;18,54;-19,95;-50,54;1,69;-13,84;-237,77;181441,0;134114000,0;3,0;-2,08;IFCM3.SA
MEAL3;0,81;-1,41;0,31;0,151;0,0;0,116;-1,28;-14,82;-0,26;-27,14;2,85;33,39;-1,02;-10,7;0,67;-0,95;-21,9;168589,0;752159000,0;0,26;-7,49;MEAL3.SA
VSTE3;2,45;5,91;0,26;0,216;2,07;0,164;1,6;2,3;-3,61;4,42;1,8;64,93;9,38;3,65;1,48;7,94;4,36;160254,0;1089030000,0;0,24;5,5;VSTE3.SA
AALR3;3,4;-0,38;-1,87;0,449;0,0;0,291;-0,4;-9,78;-0,34;-16,42;14,57;20,76;-4,59;-118,89;0,28;-3,72;494,46;157173,0;-277542000,0;-1,27;1,46;AALR3.SA
CAMB3;8,54;5,91;1,14;0,953;12,17;0,928;2,54;6,81;2,85;5,81;4,67;49,47;14,0;16,11;3,53;16,78;19,24;145494,0;317252000,0;-0,17;0,41;CAMB3.SA
ALUP4;11,05;7,88;1,13;2,181;3,26;0,308;1,81;3,59;-0,82;6,73;6,3;65,85;60,68;40,21;3,17;10,21;14,38;127440,0;9640550000,0;0,99;4,28;ALUP4.SA
PDTC3;1,66;11,84;0,94;-10,461;0,0;0,207;0,56;15,97;-0,92;42,52;68,97;1,03;-65,51;-88,37;3,01;1,56;7,92;117137,0;140739000,0;1,56;-4,33;PDTC3.SA
CGRA4;22,95;8,04;0,63;0,793;23,15;0,459;1,66;6,83;2,89;4,84;3,88;54,1;11,61;9,86;2,83;8,41;7,81;114995,0;929827000,0;-0,18;2,75;CGRA4.SA
TOKY3;10,1;-0,11;0,15;0,022;0,0;0,016;-0,07;-0,79;-0,02;-15,75;3,5;51,42;-2,78;-25,81;0,58;-2,47;-142,15;109793,0;182554000,0;2,85;21,31;TOKY3.SA
PINE3;10,93;4,6;1,54;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;33,43;107304,0;1802640000,0;0,0;55,71;PINE3.SA
ALPA3;9,94;9,69;1,88;1,407;17,56;1,08;4,69;7,45;18,46;8,05;6,31;52,96;18,88;14,52;1,91;17,96;19,37;104712,0;3619460000,0;0,15;4,97;ALPA3.SA
ISAE3;33,66;8,4;1,07;2,218;5,15;0,474;4,08;5,12;-1,17;8,58;8,51;45,82;43,28;26,95;5,28;9,63;12,71;102333,0;22159400000,0;0,72;16,96;ISAE3.SA
