papel;cotacao;pl;pvp;psr;div_yield;p_ativo;p_cap_giro;p_ebit;p_ativ_circ_liq;ev_ebit;ev_ebitda;mrg_bruta;mrg_ebit;mrg_liq;liq_corr;roic;roe;liq_2meses;patrim_liq;div_liq_patrim;cresc_rec_5a;ticker
RECV3;11,71;6,88;0,78;1,152;14,56;0,381;2,4;4,74;-1,42;6,87;3,51;32,07;24,3;16,73;2,91;10,15;11,26;21583600,0;4433510000,0;0,35;10,38;RECV3.SA
INTB3;15,41;8,46;1,53;1,109;7,8;0,909;1,98;9,21;2,69;8,17;6,74;31,35;12,04;13,12;2,64;17,52;18,07;21095100,0;3302550000,0;-0,17;5,91;INTB3.SA
SIMH3;7,89;-25,26;0,78;0,103;2,17;0,05;0,66;0,59;-0,09;6,27;3,83;26,72;17,37;-0,18;1,28;11,25;-3,1;20381800,0;5887580000,0;7,48;24,35;SIMH3.SA
SBFG3;9,11;5,02;0,66;0,251;5,95;0,225;1,1;3,01;-1,78;6,99;4,12;48,82;8,33;5,01;1,62;8,98;13,07;19669200,0;3203540000,0;0,87;8,18;SBFG3.SA
PGMN3;3,83;8,44;0,81;0,177;6,16;0,282;1,12;2,94;-3,75;4,49;2,85;32,3;6,04;2,1;1,78;12,78;9,61;16467800,0;3417800000,0;0,43;17,6;PGMN3.SA
PLPL3;7,2;4,81;1,31;0,414;6,84;0,34;0,58;1,85;2,23;2,06;1,99;28,56;22,4;9,89;3,01;24,26;27,32;14168100,0;1117620000,0;0,15;28,65;PLPL3.SA
AUAU3;4,03;18,02;1,09;0,691;0,75;0,503;6,92;9,21;-2,64;8,45;3,82;46,49;7,5;3,84;1,26;7,01;6,04;14131200,0;3185940000,0;-0,09;0,0;AUAU3.SA
UNIP6;56,79;24,11;3,22;1,228;11,4;0,828;3,94;9,31;-2,19;12,69;8,73;26,81;13,18;4,98;2,39;11,66;13,34;13817300,0;1998820000,0;1,17;-8,38;UNIP6.SA
SEER3;14,1;6,68;1,19;0,791;6,26;0,54;4,45;3,48;-2,3;4,25;2,98;59,96;22,73;11,85;1,64;17,04;17,83;13687500,0;1523700000,0;0,26;10,07;SEER3.SA
LWSA3;4,05;-11,12;0,94;1,478;7,59;0,63;11,56;12,27;20,75;10,44;5,82;47,79;12,05;-13,29;1,18;5,89;-8,41;12767200,0;2382050000,0;-0,14;10,58;LWSA3.SA
PINE4;11,79;4,97;1,66;0,0;7,99;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;33,43;12722600,0;1802640000,0;0,0;55,71;PINE4.SA
PCAR3;2,9;-0,67;3,49;0,078;0,0;0,092;-0,35;0,86;-0,13;3,06;1,84;28,97;9,11;-11,6;0,52;12,94;-520,29;12299600,0;409000000,0;8,95;-7,66;PCAR3.SA
ABCB4;25,0;6,39;0,9;0,0;10,43;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,05;11749400,0;7258910000,0;0,0;7,57;ABCB4.SA
KLBN4;3,84;42,69;2,53;1,158;6,05;0,376;2,7;8,91;-0,8;18,11;6,43;28,0;13,01;2,59;2,0;5,45;5,92;11733200,0;9486820000,0;2,61;2,72;KLBN4.SA
GRND3;3,77;5,87;1,06;1,333;39,47;0,89;2,46;13,25;2,51;11,86;9,05;44,55;10,06;22,71;3,36;7,81;18,04;11678500,0;3211210000,0;-0,11;1,48;GRND3.SA
RIAA3;7,32;2,4;0,68;0,344;44,23;0,26;1,07;3,44;9,48;4,66;2,66;61,58;10,0;14,35;1,61;8,96;28,35;11470700,0;5403030000,0;0,24;7,28;RIAA3.SA
MDIA3;17,2;8,98;0,69;0,559;6,14;0,446;1,56;7,47;3,76;6,63;4,33;32,67;7,49;6,23;2,55;8,32;7,65;11451600,0;8486070000,0;-0,08;2,37;MDIA3.SA
LIGT3;3,75;2,5;0,65;0,386;0,0;0,199;6,8;4,01;-0,41;8,87;5,43;15,87;9,62;15,44;1,16;5,78;25,94;10878000,0;9309900000,0;0,78;2,19;LIGT3.SA
RAPT4;5,12;-5,17;0,59;0,137;0,0;0,096;0,32;1,43;-0,48;5,52;3,92;26,16;9,62;-1,03;2,12;9,51;-11,45;10763500,0;3022890000,0;1,7;6,24;RAPT4.SA
TUPY3;16,01;-2,74;0,93;0,226;0,0;0,226;0,66;23,96;-2,05;45,47;8,63;10,79;0,95;-8,26;2,16;1,49;-33,8;10699600,0;2287510000,0;0,83;0,64;TUPY3.SA
LOGG3;24,63;5,79;0,61;8,197;27,91;0,318;7,13;11,29;-1,26;20,16;19,57;96,48;72,6;145,0;1,25;3,04;10,63;10434900,0;3519570000,0;0,48;8,32;LOGG3.SA
CASH3;5,28;-5,46;1,28;1,109;0,0;1,031;4,05;-7,97;4,63;-6,34;-8,45;-13,91;-13,91;-20,42;2,68;-16,62;-23,45;9815210,0;429438000,0;-0,26;9,4;CASH3.SA
MILS3;15,87;8,28;1,97;1,948;5,34;0,881;4,09;5,31;-3,88;7,06;4,91;61,63;36,67;23,54;2,98;20,65;23,81;9765340,0;1885980000,0;0,65;19,88;MILS3.SA
BMOB3;26,21;14,05;2,38;1,193;7,5;1,112;3,79;12,8;5,64;11,16;7,88;26,63;9,32;9,14;1,69;11,27;16,97;9680000,0;940855000,0;-0,3;12,63;BMOB3.SA
DXCO3;5,62;-143,22;0,75;0,609;0,0;0,271;1,62;7,78;-0,98;14,66;4,96;25,73;7,83;0,62;1,98;4,35;-0,52;9581960,0;6923080000,0;0,66;-0,05;DXCO3.SA
TGMA3;34,7;9,02;2,3;0,914;10,46;1,499;5,32;6,76;9,2;6,84;6,23;18,75;13,51;10,14;2,22;27,01;25,55;9143440,0;994134000,0;0,03;22,74;TGMA3.SA
AZEV3;6,84;-1,15;1,84;1,383;0,0;0,497;-6,09;-4,01;-1,33;-4,96;35,49;18,48;-34,5;-120,71;0,81;-14,57;-160,34;9137320,0;413986000,0;0,43;8,16;AZEV3.SA
AZEV4;1,37;-0,23;0,37;0,277;0,0;0,1;-1,22;-0,8;-0,27;-1,75;12,53;18,48;-34,5;-120,71;0,81;-14,57;-160,34;9123500,0;413986000,0;0,43;8,16;AZEV4.SA
DESK3;19,17;39,9;1,56;1,755;0,97;0,568;10,03;5,82;-1,32;8,93;5,3;60,5;30,18;5,27;1,41;11,53;3,91;8875820,0;1430350000,0;0,83;22,33;DESK3.SA
POMO3;4,26;4,43;1,26;0,585;21,69;0,542;1,86;3,91;14,2;5,24;4,67;24,5;14,97;13,26;1,94;18,39;28,32;8681640,0;4240170000,0;0,43;22,36;POMO3.SA
PNVL3;13,14;14,35;1,5;0,335;2,5;0,533;2,11;7,38;-9,52;11,53;6,05;32,32;4,54;2,33;1,75;9,66;10,45;8637290,0;1317020000,0;0,84;12,73;PNVL3.SA
SAPR4;6,93;23,0;0,87;1,388;1,62;0,395;3,59;4,12;-1,29;5,14;4,07;57,51;33,71;6,04;1,86;11,83;3,76;8513810,0;12103900000,0;0,21;8,47;SAPR4.SA
CYRE4;24,67;5,48;1,0;1,133;0,0;0,403;1,0;6,81;17,53;9,73;8,76;33,08;16,65;17,02;3,37;7,03;18,26;8372400,0;11168000000,0;0,43;18,66;CYRE4.SA
LEVE3;33,07;6,43;4,65;0,836;8,62;1,161;6,24;4,79;-9,2;5,96;5,25;27,49;17,47;13,01;1,43;34,45;72,29;8181700,0;964164000,0;1,14;8,58;LEVE3.SA
VTRU3;15,0;2,06;0,56;0,957;0,17;0,339;3,3;2,58;-1,51;3,91;3,1;66,01;37,15;46,56;2,56;15,07;27,23;8167260,0;4014380000,0;0,29;9,03;VTRU3.SA
OPCT3;11,15;13,29;2,15;0,929;0,87;0,641;3,58;5,09;-1,7;8,79;4,77;29,57;18,27;6,99;2,22;14,93;16,21;8158890,0;1035340000,0;1,57;20,79;OPCT3.SA
PRNR3;18,19;23,65;2,17;0,604;0,0;0,545;2,6;6,5;-2,16;10,59;5,93;18,42;9,29;3,24;1,85;10,43;9,17;8083510,0;478172000,0;1,37;29,71;PRNR3.SA
TFCO4;13,05;13,6;3,26;1,781;2,44;2,021;4,27;8,67;6,45;9,19;8,39;57,16;20,55;12,92;3,17;27,1;23,99;8015550,0;612804000,0;0,2;21,46;TFCO4.SA
BHIA3;0,73;-0,06;-0,09;0,025;0,0;0,029;-0,09;0,32;-0,04;2,84;1,94;31,19;7,69;-44,42;0,64;14,81;159,69;7263420,0;-8270000000,0;-0,69;-1,35;BHIA3.SA
MYPK3;9,99;16,79;0,37;0,101;3,07;0,103;0,51;1,63;-0,49;5,67;3,59;11,88;6,21;1,53;1,73;8,93;2,23;7195320,0;4095740000,0;0,93;-1,11;MYPK3.SA
AMER3;5,27;-3,77;0,25;0,089;0,0;0,073;0,41;-1,63;-0,26;-4,26;41,69;25,59;-5,48;-2,37;1,7;-5,28;-6,74;7002380,0;4155000000,0;0,41;-18,82;AMER3.SA
FESA4;5,85;14,01;0,63;0,95;11,09;0,476;1,72;16,51;3,39;12,97;4,06;16,32;5,75;6,8;3,61;3,69;4,49;6948740,0;3287150000,0;-0,13;-7,87;FESA4.SA
KEPL3;6,67;8,58;1,5;0,833;4,32;0,809;2,44;9,07;4,26;8,98;6,84;23,05;9,18;9,71;2,04;12,97;17,52;6691850,0;797669000,0;-0,02;-1,75;KEPL3.SA
SANB4;14,81;7,17;1,12;0,0;8,16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,69;6544730,0;98731800000,0;0,0;9,09;SANB4.SA
SANB3;14,93;7,23;1,13;0,0;7,36;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,69;6348360,0;98731800000,0;0,0;9,09;SANB3.SA
BMGB4;6,06;6,28;0,91;0,0;8,45;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,47;6145040,0;4319050000,0;0,0;7,48;BMGB4.SA
LAVV3;11,02;5,96;1,49;1,188;22,04;0,433;0,67;6,27;2,22;7,83;7,47;33,97;18,94;23,38;4,12;8,69;24,9;5750390,0;1450080000,0;0,37;39,66;LAVV3.SA
USIM3;7,08;-3,82;0,43;0,358;0,0;0,253;0,68;7,46;1,67;6,95;3,54;9,82;4,8;-8,27;4,44;4,67;-11,18;5492100,0;20751200000,0;-0,03;-6,96;USIM3.SA
SOJA3;7,73;47,28;0,82;0,418;3,67;0,274;0,66;7,4;-7,89;13,01;10,1;11,72;5,65;3,53;2,98;5,66;1,73;5176370,0;1340690000,0;0,62;17,87;SOJA3.SA
QUAL3;1,49;16,22;0,32;0,313;0,6;0,123;-0,76;0,71;-0,32;2,05;1,44;87,86;44,02;2,56;0,58;22,61;1,96;5097530,0;1334000000,0;0,6;-9,87;QUAL3.SA
OBTC3;7,33;-1,93;2,1;-2785,53;0,0;1,703;-13,25;-95,39;-13,22;-102,43;-101,91;-15,84;2920,26;144637,0;0,32;-1,9;-109,2;4991480,0;1019920000,0;0,16;0,0;OBTC3.SA
CAML3;5,35;16,98;0,63;0,169;5,48;0,156;0,59;3,75;-0,84;12,74;8,07;22,87;4,5;1,0;1,87;5,74;3,69;4953430,0;2988670000,0;1,5;5,4;CAML3.SA
FRAS3;23,53;22,52;2,62;1,214;2,62;0,94;3,28;8,56;-6,34;10,13;7,58;33,34;14,17;5,43;2,41;15,27;11,62;4797400,0;2520240000,0;0,48;18,27;FRAS3.SA
HBSA3;3,41;-25,93;2,22;2,065;0,0;0,784;4,88;8,33;-1,89;12,86;7,81;38,04;24,78;-7,96;3,26;11,14;-8,56;4743250,0;2090450000,0;1,2;9,3;HBSA3.SA
RANI3;7,85;13,98;1,26;1,07;5,12;0,46;2,57;5,21;-1,58;8,34;5,04;35,35;20,52;7,65;2,1;11,69;9,03;4686960,0;1433090000,0;0,76;0,31;RANI3.SA
FIQE3;5,1;9,1;1,67;1,561;12,34;0,643;4,36;5,88;-2,02;6,94;3,68;50,92;26,54;17,25;1,99;14,31;18,4;4638100,0;1215680000,0;0,3;21,55;FIQE3.SA
JSLG3;6,0;-16,39;1,45;0,175;31,98;0,142;1,4;1,73;-0,27;8,12;4,33;15,46;10,11;-1,07;1,37;9,68;-8,83;4564660,0;1182770000,0;5,37;17,46;JSLG3.SA
EVEN3;4,2;4,24;0,44;0,544;21,82;0,163;0,29;3,95;0,99;7,23;7,09;28,75;13,78;16,15;4,67;4,93;10,28;4510370,0;1926220000,0;0,36;-11,78;EVEN3.SA
BRBI11;14,5;9,54;1,88;4,554;9,52;0,082;2,63;312,68;2,63;48,27;14,78;100,0;1,46;47,73;1,03;1,85;19,7;4506710,0;809776000,0;-1,59;-30,74;BRBI11.SA
PMAM3;0,9;-0,22;-0,04;0,489;0,0;0,227;-0,04;-1,1;-0,03;-23,92;-33,75;-28,28;-44,48;-220,27;0,04;-43,08;16,84;4116640,0;-7811240000,0;-0,78;-36,31;PMAM3.SA
VLID3;17,86;6,31;0,83;0,704;10,68;0,48;1,85;4,06;11,92;4,47;3,28;35,19;17,33;11,53;2,3;15,68;13,18;4037090,0;1713420000,0;0,08;-0,48;VLID3.SA
RAIZ4;0,28;-0,11;-0,26;0,013;0,0;0,03;-0,05;0,76;-0,04;16,45;4,73;5,57;1,72;-12,07;0,36;4,91;241,22;3783940,0;-11162300000,0;-5,39;0,94;RAIZ4.SA
MLAS3;1,86;5,03;0,47;0,376;2,71;0,284;0,74;9,54;0,9;7,0;5,21;28,37;3,94;7,46;2,15;4,77;9,38;3497310,0;3231060000,0;-0,13;-2,81;MLAS3.SA
RCSL4;0,4;-3,39;-3,41;219,464;0,0;1,504;26,97;-59,27;-1,34;-59,27;-59,27;-27,59;-370,26;-6462,93;1,21;-2,72;100,56;3495380,0;-14917000,0;0,0;-75,18;RCSL4.SA
ARML3;3,85;21,52;0,97;0,669;12,13;0,224;1,45;3,02;-0,55;8,43;4,94;31,83;22,2;4,46;1,89;9,85;4,51;3396360,0;1374540000,0;1,74;30,02;ARML3.SA
TAEE4;13,87;8,82;1,78;3,197;7,23;0,631;6,73;5,88;-1,23;10,15;9,81;60,76;54,38;36,25;3,48;11,11;20,14;2955590,0;8070920000,0;1,29;13,01;TAEE4.SA
DASA3;2,77;-3,87;0,51;0,373;0,0;0,203;3,77;3,14;-0,59;7,83;4,19;31,02;11,89;-9,46;1,27;7,28;-13,13;2883530,0;6840370000,0;0,76;-4,66;DASA3.SA
JALL3;2,63;-15,77;0,41;0,402;3,05;0,111;0,36;-4,98;-0,32;-23,97;4,29;7,37;-8,08;-2,55;5,38;-2,95;-2,61;2501380,0;1936160000,0;1,57;9,4;JALL3.SA
BLAU3;10,02;9,99;1,0;1,308;7,42;0,58;1,57;6,62;5,28;6,53;5,39;41,34;19,76;13,14;3,23;12,24;10,02;2496230,0;2333950000,0;-0,01;8,67;BLAU3.SA
POSI3;3,51;39,93;0,32;0,143;5,12;0,115;0,41;2,21;-9,36;5,26;3,8;24,99;6,48;0,37;1,82;6,93;0,8;2465610,0;1560820000,0;0,44;-6,21;POSI3.SA
LJQQ3;1,33;-1,31;0,89;0,084;0,0;0,07;0,22;4,62;-0,39;3,79;1,08;31,73;1,82;-6,4;1,77;2,03;-67,62;2461430,0;292374000,0;-0,16;8,03;LJQQ3.SA
AGRO3;19,28;-21,99;0,98;2,141;3,91;0,534;5,16;-44,81;-3,35;-73,03;91,27;10,42;-4,78;-9,73;1,54;-1,3;-4,44;2441670,0;2025310000,0;0,62;-14,34;AGRO3.SA
MTRE3;3,5;5,64;0,36;0,332;11,34;0,154;0,3;3,28;0,6;7,77;6,55;27,86;10,13;8,88;2,74;5,3;6,4;2421270,0;1025180000,0;0,5;15,4;MTRE3.SA
WIZC3;8,06;6,5;1,74;1,011;7,8;0,535;21,72;2,08;-2,97;2,05;1,75;60,14;48,61;27,19;1,1;32,81;26,78;2366410,0;740937000,0;-0,02;12,26;WIZC3.SA
KLBN3;4,13;45,91;2,72;1,246;5,62;0,405;2,9;9,58;-0,86;18,78;6,67;28,0;13,01;2,59;2,0;5,45;5,92;2355530,0;9486820000,0;2,61;2,72;KLBN3.SA
AZUL3;18,05;4,1;-1,29;0,306;0,0;0,216;-0,77;2,2;-0,22;8,87;4,57;20,74;13,89;7,46;0,42;11,24;-31,48;2300480,0;-5154860000,0;-3,91;11,89;AZUL3.SA
SHUL4;4,5;6,19;1,03;0,861;14,09;0,518;1,35;27,59;3,2;24,48;8,71;21,2;3,12;13,9;2,4;3,18;16,58;2294780,0;1566070000,0;-0,12;-0,42;SHUL4.SA
AZTE3;1,65;-6,08;0,23;17,984;0,0;0,215;-7,68;-8,61;-4,97;-9,22;58,12;60,17;-208,91;-295,64;0,46;-2,56;-3,8;2191880,0;285937000,0;0,02;7,5;AZTE3.SA
